0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:19:07 +0900] "GET /bookSeat/list.jsp HTTP/1.1" 200 1410
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:25:28 +0900] "GET /bookSeat/count.jsp HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:25:28 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:25:51 +0900] "GET /bookSeat/count.jsp HTTP/1.1" 200 1980
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:27:15 +0900] "GET /bookSeat/count.jsp HTTP/1.1" 200 1980
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:27:21 +0900] "GET /bookSeat/list.jsp HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:27:30 +0900] "GET /bookSeat/list.jsp HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:28:28 +0900] "GET /bookSeat/list.jsp HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:28:28 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:31:19 +0900] "GET /bookSeat/list.jsp HTTP/1.1" 200 1410
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:31:19 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:31:56 +0900] "GET /bookSeat/book.jsp HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:31:56 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:32:20 +0900] "GET /bookSeat/action.jsp?resvno=20242315&empno=2315&resvdate=20240328&seatno=S311 HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:32:22 +0900] "GET /bookSeat/list.jsp HTTP/1.1" 200 1410
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:32:27 +0900] "GET /bookSeat/count.jsp HTTP/1.1" 200 1980
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:32:28 +0900] "GET /bookSeat/index.jsp HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:32:29 +0900] "GET /bookSeat/book.jsp HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:33:49 +0900] "GET /bookSeat/index.jsp HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:33:49 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:33:51 +0900] "GET /bookSeat/book.jsp HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:33:51 +0900] "GET /bookSeat/list.jsp HTTP/1.1" 200 1410
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:33:58 +0900] "GET /bookSeat/count.jsp HTTP/1.1" 200 1980
0:0:0:0:0:0:0:1 - - [28/Mar/2024:10:33:59 +0900] "GET /bookSeat/index.jsp HTTP/1.1" 200 1351
